Sex,Age,Apple,Aronia,Banana,Bearberry,Blackberry,Blackcurrant,Blueberry,Cantaloupe,Citron,Clementine,Coconut,Guava,Lime,Lychee,Mango,Orange,Peach,Plum,Quince,Raspberry,Redcurrant,Sambucus,Strawberries,Client
F,27,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,N
F,32,0,0,0,273,0,0,0,0,111,108,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
F,20,0,0,0,0,24,0,0,0,0,161,0,282,0,0,0,0,0,298,0,0,211,0,247,Y
M,19,0,274,59,0,0,0,0,0,0,0,0,0,0,97,238,0,177,0,298,0,270,0,0,Y
M,28,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
F,38,0,0,0,0,122,0,0,122,0,0,0,269,0,116,0,177,159,0,0,0,257,0,0,N
F,24,0,0,170,0,254,0,90,0,23,0,0,0,0,0,257,0,0,0,235,0,0,0,0,Y
F,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,40,0,111,236,0,0,N
F,61,0,0,0,0,0,0,0,239,0,0,5,0,0,0,11,0,0,107,0,0,0,0,0,Y
F,25,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,1,0,0,0,0,N
M,27,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,118,N
M,49,0,259,0,280,43,0,0,0,44,226,0,0,0,0,0,0,0,97,0,0,0,240,0,N
M,44,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,51,0,0,0,N
F,19,0,0,0,0,0,0,242,102,0,0,0,0,0,0,0,296,0,0,0,0,43,0,121,N
M,42,181,0,0,0,189,29,0,0,0,2,35,0,46,0,0,0,0,207,0,0,0,0,0,N
F,58,0,0,0,0,203,0,0,0,0,0,0,0,0,117,0,0,0,0,0,213,0,217,0,Y
M,35,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,62,123,0,0,0,40,170,0,251,0,0,6,0,263,0,0,0,0,0,0,0,0,0,83,N
F,29,0,118,179,0,216,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,N
F,64,0,0,213,164,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,N
M,59,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,N
F,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,21,0,100,0,0,0,230,0,0,251,265,0,0,0,0,238,37,0,0,0,0,0,0,0,N
F,22,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,63,161,298,0,0,0,0,0,0,0,0,0,34,0,0,0,160,0,0,0,0,0,0,0,N
F,48,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,N
M,53,0,0,0,0,0,0,77,0,0,0,0,0,134,0,0,66,48,0,0,0,0,182,72,Y
M,50,135,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,1,0,0,0,0,0,N
F,60,266,0,0,0,0,0,0,53,127,0,0,0,0,59,0,0,0,0,0,0,0,0,0,Y
F,41,0,0,0,0,0,0,144,0,0,210,0,0,0,0,250,189,0,0,107,0,0,0,0,Y
F,47,0,0,0,0,0,159,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,75,N
M,64,0,180,166,0,0,230,0,0,0,0,165,0,15,0,0,0,0,0,0,0,0,294,249,N
M,39,0,0,0,0,0,0,93,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,N
F,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
F,53,0,0,0,0,0,214,0,0,193,0,0,0,0,148,0,0,0,0,0,0,243,0,0,N
M,61,0,97,0,0,0,0,0,0,0,173,0,0,0,0,0,0,126,0,76,204,0,99,0,N
M,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
F,62,265,0,0,0,49,0,0,2,0,0,0,279,0,0,0,0,0,246,0,0,0,68,0,Y
M,61,25,0,0,0,0,84,0,0,91,206,0,0,0,0,284,0,0,0,0,73,0,0,0,N
F,52,0,0,0,0,271,11,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,233,0,N
M,26,0,0,0,194,158,0,184,0,239,0,0,144,0,0,0,0,0,0,0,43,0,54,0,Y
F,44,187,0,0,146,128,0,66,0,0,0,0,0,0,130,0,0,169,31,0,0,0,0,0,Y
M,51,271,0,70,0,229,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,48,175,Y
M,42,0,0,0,0,0,0,0,110,78,0,0,0,113,0,0,95,0,0,0,0,0,71,0,N
M,22,226,238,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,291,0,0,0,0,Y
F,34,0,0,0,0,43,0,0,0,274,0,0,0,0,0,0,0,0,0,39,0,32,0,0,N
M,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
F,32,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,N
F,39,0,0,0,0,0,110,0,0,196,0,0,0,124,0,0,0,0,0,0,0,0,0,0,N
F,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,N
M,51,0,0,0,0,291,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,28,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,N
M,20,0,0,0,0,227,128,0,0,58,0,0,0,189,0,83,0,0,0,0,0,225,0,20,N
M,37,0,169,25,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,59,12,0,160,52,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,Y
F,37,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
F,66,3,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,37,237,0,178,0,249,0,N
F,62,28,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,Y
M,39,0,257,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
F,44,256,0,223,0,0,267,115,0,0,283,0,0,0,0,0,0,0,110,0,18,0,0,0,Y
M,34,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,154,0,0,0,0,0,N
M,56,0,0,10,0,0,0,0,0,101,0,145,56,255,0,0,63,0,0,0,47,0,0,0,Y
