Sex,Age,Apple,Aronia,Banana,Bearberry,Blackberry,Blackcurrant,Blueberry,Cantaloupe,Citron,Clementine,Coconut,Guava,Lime,Lychee,Mango,Orange,Peach,Plum,Quince,Raspberry,Redcurrant,Sambucus,Strawberries,Client
1,36,0,0,0,0,0,0,0,0,0,0,91,253,0,80,0,0,0,283,0,0,0,0,61,1
1,23,199,0,0,0,37,0,170,0,0,0,0,40,41,0,64,0,0,0,0,0,0,0,37,0
1,64,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0,0
1,30,0,257,194,0,0,0,0,0,0,116,0,0,0,0,0,0,0,285,0,0,0,0,0,0
1,44,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0
1,18,0,0,0,294,0,241,0,0,0,116,0,0,9,0,0,0,0,174,281,0,265,0,0,1
1,55,229,0,0,0,0,0,0,0,0,0,73,0,0,0,16,0,0,22,0,0,0,0,0,0
1,63,0,199,0,0,0,0,0,0,156,0,0,0,14,110,0,148,0,0,0,0,0,4,0,0
0,31,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0
0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,57,0,0,0,278,0,0,0,120,0,0,94,0,0,204,0,0,37,0,0,0,0,123,0,0
1,61,294,0,0,0,40,0,0,23,0,0,0,0,0,0,0,0,0,0,19,227,0,264,0,0
1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,1
1,56,0,0,0,0,0,75,122,0,0,0,0,0,0,187,118,0,0,0,0,0,0,292,0,0
1,42,0,0,136,0,0,0,44,279,0,0,220,0,0,0,0,88,0,0,178,59,0,0,0,1
0,50,0,0,0,0,0,153,0,146,143,0,0,126,0,150,0,0,0,0,0,0,0,43,0,0
1,33,294,1,74,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,121,0,0,0,0
1,33,27,188,0,118,0,0,0,0,0,188,0,0,14,0,0,0,0,0,0,0,116,0,0,1
0,47,0,0,153,109,0,0,0,265,0,0,0,0,0,0,79,181,278,0,0,0,0,0,0,1
0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,49,0,0,0,124,0,0,29,0,286,240,0,0,0,0,0,0,253,0,0,0,0,0,0,1
1,46,0,0,230,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,179,0
0,59,136,0,0,299,0,0,0,0,0,178,0,16,0,0,89,0,0,0,68,282,0,0,0,0
1,64,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
1,28,0,0,205,0,8,0,0,0,122,205,0,0,249,0,63,0,0,0,0,0,0,0,0,1
0,57,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,57,0,1
1,45,0,0,0,0,0,27,0,42,0,18,46,0,0,0,0,0,0,0,210,0,290,0,29,1
1,60,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0
1,41,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0
0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,36,0,0,0,0,284,0,44,0,0,0,0,0,0,0,183,0,0,231,103,0,0,0,0,0
0,49,0,0,0,0,0,0,0,195,0,0,0,280,0,209,55,0,0,0,285,0,0,50,0,0
0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,53,0,0,0,0,0,0,0,0,63,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0
1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0
1,18,28,0,0,0,0,110,0,95,0,0,0,131,0,0,0,0,0,0,0,68,2,0,0,0
0,65,0,30,54,0,0,238,34,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0
1,45,0,0,0,0,0,179,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,44,0,0,0,0,0,0,0,0,199,211,0,237,0,0,99,0,0,0,0,0,0,245,131,0
0,50,0,0,0,0,275,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0
0,55,0,0,0,86,0,0,41,0,27,75,0,0,264,0,5,0,0,0,0,0,0,0,0,1
0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0
1,31,0,0,0,0,0,0,97,0,0,222,133,0,237,0,0,0,0,0,0,185,299,0,0,0
1,27,187,0,0,191,162,0,0,120,0,0,0,0,0,0,129,0,0,0,0,0,0,25,282,1
0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,63,0,0,0,299,0,288,0,0,0,0,56,0,0,0,0,177,0,0,0,0,0,0,0,0
0,40,0,115,0,252,286,34,0,129,0,0,0,0,0,0,0,0,0,0,47,0,0,0,192,1
0,65,0,0,0,0,264,0,263,0,0,0,0,0,293,149,0,0,0,0,289,0,0,0,0,1
1,38,218,0,0,0,0,0,0,0,0,117,0,0,0,209,111,0,0,0,0,0,0,0,0,0
0,32,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,139,123,0,0
1,55,0,0,0,25,0,0,0,36,202,162,0,0,112,0,0,0,0,11,0,0,0,0,0,1
0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,32,0,0,114,0,78,0,0,0,0,0,0,70,0,0,0,0,209,0,0,0,0,110,0,1
1,37,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,31,195,0,0,207,137,0,107,0,0,0,0,0,74,0,0,0,0,0,0,0,46,0,0,1
0,48,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,257,67,0,0,0,1
1,35,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
0,28,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0
1,60,0,0,0,0,279,0,0,280,0,0,0,0,58,0,0,238,0,0,175,0,0,0,0,0
0,29,0,0,0,0,281,240,188,171,0,0,152,0,0,0,0,177,0,0,0,0,0,0,0,1
1,19,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,126,0,0,0
1,29,0,0,0,0,0,0,0,0,0,0,219,0,176,193,0,0,0,0,0,0,0,0,0,0
0,54,0,0,0,0,0,0,217,0,0,0,0,0,151,0,0,0,0,0,43,219,0,278,199,0
0,66,0,0,95,5,0,0,104,0,0,0,0,0,183,0,73,0,130,0,0,0,0,157,0,1
1,65,0,294,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,57,250,0,0,0,0,0
1,19,0,0,0,0,0,0,0,21,152,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0
0,32,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,142,259,0,0,224,186,0
