Sex,Age,Apple,Aronia,Banana,Bearberry,Blackberry,Blackcurrant,Blueberry,Cantaloupe,Citron,Clementine,Coconut,Guava,Lime,Lychee,Mango,Orange,Peach,Plum,Quince,Raspberry,Redcurrant,Sambucus,Strawberries,Client
M,65,108,82,0,0,0,0,0,44,184,0,0,0,0,0,0,235,0,0,0,0,183,163,0,N
M,59,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,228,175,0,0,0,0,0,0,Y
M,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,N
F,46,0,0,0,211,0,0,0,0,0,0,0,0,297,0,164,0,0,0,0,0,0,283,194,N
M,46,0,0,0,0,0,0,0,0,0,0,0,0,278,138,0,0,0,0,0,0,276,0,0,N
M,64,84,0,0,0,0,0,290,0,0,9,0,47,0,95,0,0,0,0,0,0,0,0,0,N
F,56,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,N
F,66,0,178,0,103,264,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,186,Y
M,55,0,0,0,66,147,0,1,0,0,139,0,0,0,0,0,0,0,0,0,0,120,156,0,N
F,20,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,229,0,0,0,0,N
M,55,280,0,0,0,0,0,67,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,297,N
F,26,0,0,0,0,0,0,0,0,4,0,0,117,263,0,0,0,0,179,0,0,205,0,67,Y
M,56,0,35,225,0,0,160,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,N
M,27,39,0,0,0,59,0,178,0,0,0,230,0,0,67,7,0,0,0,0,96,0,0,0,Y
F,23,0,0,0,0,0,0,0,272,100,0,0,0,0,0,0,0,0,211,248,0,0,0,0,N
M,42,0,0,0,0,0,0,0,181,72,0,0,0,0,0,0,184,0,0,0,0,0,0,0,N
M,37,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
M,23,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
M,56,0,156,0,0,21,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,N
M,30,0,196,0,20,0,0,0,45,0,0,0,0,0,0,194,101,0,284,0,210,0,0,0,Y
M,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,102,0,0,0,N
F,25,0,0,0,0,0,0,0,0,155,0,0,202,0,0,0,264,0,0,0,74,0,0,0,Y
M,64,270,0,0,0,0,0,0,135,0,0,146,0,0,0,194,262,0,214,0,0,167,0,0,Y
M,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,N
F,39,0,0,0,0,167,0,0,294,0,247,0,290,226,89,0,0,0,0,0,216,0,0,0,Y
M,45,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,Y
M,55,0,0,101,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,92,0,Y
M,34,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,21,0,0,0,292,253,0,0,139,65,0,0,0,0,0,0,0,0,239,269,0,0,0,0,N
M,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
F,47,0,0,0,0,0,209,68,0,0,162,0,0,0,0,0,0,0,0,0,173,132,0,0,N
M,46,0,174,0,0,137,87,0,0,0,41,0,0,186,0,0,0,0,0,173,0,0,0,0,Y
F,52,0,0,0,169,0,0,0,0,0,261,0,0,0,122,23,0,0,252,0,0,251,0,237,Y
F,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,40,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,Y
M,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,Y
M,42,9,34,0,160,0,0,0,0,0,0,0,0,0,27,0,181,0,0,55,0,0,76,0,Y
F,58,0,0,0,0,0,100,0,0,0,17,187,0,297,0,11,0,0,0,0,0,69,0,241,Y
M,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
F,36,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
F,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,54,0,0,0,0,182,0,0,0,0,0,0,95,0,0,247,42,0,0,0,0,0,62,0,Y
M,62,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,Y
M,56,0,0,0,0,0,0,0,89,74,0,0,150,0,0,85,0,0,0,0,0,234,0,280,N
M,54,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,23,Y
M,30,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,237,N
F,23,0,75,59,101,0,0,40,0,0,0,165,0,0,0,0,0,0,173,0,275,0,0,0,N
M,55,244,0,0,0,0,0,0,0,0,0,263,0,0,0,51,0,0,0,0,69,0,0,204,Y
M,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
F,57,0,0,0,0,0,0,0,67,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,Y
M,63,28,30,0,0,0,50,0,45,0,0,0,0,0,0,0,86,0,0,0,177,0,236,0,N
M,34,0,0,160,0,0,0,0,154,103,0,0,0,0,0,214,0,0,0,0,0,0,0,0,N
F,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,N
M,39,0,279,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,37,293,0,0,0,0,0,0,0,118,0,0,156,0,0,0,0,112,0,0,0,103,12,0,Y
M,29,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,N
M,60,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,123,292,0,0,0,N
M,37,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,35,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,155,0,0,0,0,0,Y
F,29,30,0,214,0,80,0,0,0,283,0,0,0,0,71,57,280,0,0,0,0,0,0,0,N
F,20,0,0,0,71,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,258,0,0,0,Y
M,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,111,0,N
M,46,285,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,N
M,56,163,0,0,0,243,0,290,0,0,0,69,0,0,10,151,0,0,0,0,0,0,244,0,Y
M,57,0,0,0,0,0,0,186,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,Y
M,29,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,28,16,0,0,0,0,N
F,21,0,0,81,0,228,0,225,23,0,0,0,0,0,0,0,221,0,0,0,0,0,37,0,N
M,45,167,78,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,45,47,0,0,0,N
M,39,0,0,0,0,0,0,0,0,76,0,109,0,27,0,0,0,0,0,0,0,84,0,0,N
F,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,30,0,227,0,248,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,145,Y
M,50,139,0,0,0,0,59,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
M,65,0,0,141,0,0,0,101,0,0,0,201,0,0,0,0,0,0,0,285,0,0,225,150,N
F,62,0,0,0,6,233,0,220,0,0,0,130,257,0,42,0,0,0,0,0,0,144,0,0,N
M,62,0,0,0,4,0,0,0,0,224,0,0,0,0,0,0,0,0,115,0,0,0,0,186,Y
M,42,0,11,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,N
M,35,83,17,215,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
M,23,263,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,181,111,0,Y
M,34,0,0,0,0,296,0,0,0,229,183,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,43,0,0,0,0,0,0,0,297,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,N
M,46,0,0,21,26,0,0,0,0,268,0,0,252,162,269,0,133,0,0,0,0,0,0,0,Y
F,21,0,5,0,0,93,0,0,0,0,0,0,0,235,0,0,0,17,0,110,0,32,0,0,N
F,39,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,149,0,119,153,0,0,245,N
M,25,0,0,0,0,0,35,0,0,0,0,207,0,0,233,116,0,0,0,0,0,0,0,0,Y
M,40,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,N
F,56,0,294,0,0,58,0,49,0,0,0,230,204,0,0,0,167,0,0,0,0,0,0,0,Y
F,27,22,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,106,0,0,237,209,N
M,33,0,0,0,284,0,0,0,0,0,0,0,0,234,0,0,0,206,220,0,178,0,283,0,N
M,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
F,30,86,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,53,0,0,107,0,0,0,0,0,0,0,0,0,153,81,0,0,0,0,0,254,154,0,0,N
M,34,0,142,0,0,0,0,0,0,0,0,192,0,100,241,110,0,0,0,172,0,52,0,0,N
M,66,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,Y
F,36,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,N
M,56,0,0,0,0,0,0,0,239,0,88,0,0,0,0,0,57,46,0,0,0,0,0,0,N
M,50,0,0,0,0,0,0,144,104,0,23,0,0,0,0,0,0,0,0,0,38,42,0,0,N
F,30,0,0,0,274,35,0,215,0,0,0,102,0,0,0,5,0,0,0,0,0,0,0,0,Y
F,48,0,0,0,0,55,56,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
F,37,0,283,84,0,260,267,0,0,271,0,0,0,276,0,0,0,0,0,0,0,0,241,0,Y
M,31,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,73,103,0,Y
M,42,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,282,0,0,0,N
M,47,0,0,103,0,287,22,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,10,0,Y
F,55,267,0,0,0,296,211,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,162,0,N
M,28,0,0,0,0,0,0,0,34,8,0,104,0,0,0,0,0,0,200,0,124,0,0,120,Y
M,36,243,0,0,0,0,136,0,0,234,0,169,0,0,0,0,24,0,0,0,0,0,0,0,N
F,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,27,0,0,0,0,0,0,0,0,263,201,0,0,0,0,163,0,0,0,262,0,59,0,0,N
M,47,0,0,201,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
M,49,0,236,0,0,0,0,0,0,110,0,0,0,0,122,116,0,0,0,0,0,72,0,256,N
F,21,0,292,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,283,0,23,0,138,188,Y
M,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,22,0,0,294,290,0,0,0,0,0,0,199,0,284,17,0,0,0,0,75,0,0,0,0,Y
F,40,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,N
M,44,0,0,0,0,296,0,0,0,0,0,0,237,0,0,0,0,232,0,221,0,0,0,0,Y
F,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,177,0,0,159,0,Y
M,34,0,38,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,169,0,0,0,0,0,N
F,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
F,26,0,0,0,0,0,0,115,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,N
M,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,N
M,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
F,46,148,296,277,0,0,0,0,0,0,0,0,0,0,277,0,0,0,258,0,0,176,283,0,Y
F,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
M,49,0,0,0,0,0,0,0,0,0,0,0,30,0,0,234,0,0,284,0,0,0,0,0,Y
M,63,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,N
M,28,68,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,N
M,49,28,0,0,0,121,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,156,0,0,Y
M,19,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,N
F,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
F,53,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,N
F,23,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,24,0,0,0,Y
M,51,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,203,0,0,0,19,0,0,0,Y
M,64,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,N
F,27,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,43,0,0,0,0,0,0,0,0,0,231,0,0,261,0,0,0,0,0,0,0,57,0,0,N
F,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
F,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,41,148,0,279,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
F,31,130,282,0,0,0,0,0,0,269,0,0,31,0,0,0,0,0,0,0,0,0,0,0,Y
F,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,N
